[2025-10-06 10:10:49.421 +07:00 INF] HTTP POST /notificationHub/negotiate responded 200 in 5.8855 ms
[2025-10-06 10:10:51.008 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 1.1590 ms
[2025-10-06 10:10:51.045 +07:00 INF] HTTP POST /Order/AddCart responded 302 in 7.1748 ms
[2025-10-06 10:10:51.078 +07:00 INF] HTTP GET /Order/Create responded 200 in 27.0772 ms
[2025-10-06 10:10:51.090 +07:00 INF] HTTP GET /notificationHub responded 101 in 1653.9272 ms
[2025-10-06 10:10:51.148 +07:00 INF] HTTP POST /notificationHub/negotiate responded 200 in 2.0328 ms
[2025-10-06 10:10:52.741 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 0.9374 ms
[2025-10-06 10:10:54.119 +07:00 INF] HTTP POST /Order/AddCart responded 302 in 7.9246 ms
[2025-10-06 10:10:54.158 +07:00 INF] HTTP GET /Order/Create responded 200 in 33.8653 ms
[2025-10-06 10:10:54.175 +07:00 INF] HTTP GET /notificationHub responded 101 in 2992.8558 ms
[2025-10-06 10:10:54.236 +07:00 INF] HTTP POST /notificationHub/negotiate responded 200 in 8.4066 ms
[2025-10-06 10:10:55.841 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 1.3973 ms
[2025-10-06 10:10:57.064 +07:00 INF] HTTP POST /Order/AddCart responded 302 in 9.8887 ms
[2025-10-06 10:10:57.096 +07:00 INF] HTTP GET /Order/Create responded 200 in 26.8864 ms
[2025-10-06 10:10:57.131 +07:00 INF] HTTP GET /notificationHub responded 101 in 2838.3681 ms
[2025-10-06 10:10:57.174 +07:00 INF] HTTP POST /notificationHub/negotiate responded 200 in 5.8472 ms
[2025-10-06 10:10:58.793 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 1.1798 ms
[2025-10-06 10:11:08.923 +07:00 INF] HTTP GET /Order/Create responded 200 in 25.6159 ms
[2025-10-06 10:11:08.950 +07:00 INF] HTTP GET /notificationHub responded 101 in 11755.1073 ms
[2025-10-06 10:11:09.077 +07:00 INF] HTTP POST /notificationHub/negotiate responded 200 in 76.6256 ms
[2025-10-06 10:11:10.658 +07:00 INF] HTTP GET /firebase-messaging-sw.js responded 404 in 0.8126 ms
[2025-10-06 10:11:26.246 +07:00 INF] HTTP GET / responded 302 in 1.6710 ms
[2025-10-06 10:11:26.281 +07:00 INF] HTTP GET /Account/Login responded 200 in 16.2898 ms
[2025-10-06 10:11:26.377 +07:00 INF] HTTP GET /js/Login.js responded 404 in 5.7747 ms
[2025-10-06 10:11:26.384 +07:00 INF] HTTP GET /css/user-login.css responded 200 in 15.7137 ms
